Date,Open,High,Low,Close,Volume
24-Sep-24,7.12,7.32,7.07,7.31,7.31,"1,261,100"
23-Sep-24,7.26,7.4,6.88,7.11,7.11,"1,111,700"
20-Sep-24,6.8,7.22,6.72,7.13,7.13,"1,769,900"
19-Sep-24,7.54,7.56,6.79,6.8,6.8,"2,115,100"
18-Sep-24,7.06,7.51,7.05,7.12,7.12,"2,212,300"
17-Sep-24,7.09,7.3,6.93,7.12,7.12,"1,620,900"
16-Sep-24,6.8,6.99,6.34,6.91,6.91,"1,033,300"
13-Sep-24,6.74,7.01,6.61,6.89,6.89,"1,640,400"
12-Sep-24,6.26,6.87,6.23,6.66,6.66,"2,328,400"
11-Sep-24,6.17,6.39,5.95,6.29,6.29,"1,791,100"
10-Sep-24,5.77,6.28,5.62,6.27,6.27,"3,082,500"
9-Sep-24,5.64,5.77,5.53,5.72,5.72,"1,496,300"
6-Sep-24,6.08,6.15,5.4,5.45,5.45,"3,836,200"
5-Sep-24,6.05,6.2,5.83,6.03,6.03,"3,023,600"
4-Sep-24,5.86,6.07,5.77,5.86,5.86,"1,455,700"
3-Sep-24,6.4,6.43,5.98,6,6,"2,660,000"
30-Aug-24,6.62,6.74,6.35,6.54,6.54,"3,416,300"
29-Aug-24,6.76,7.07,6.55,6.61,6.61,"1,728,400"
28-Aug-24,6.99,7.06,6.56,6.59,6.59,"2,732,800"
27-Aug-24,7.07,7.24,6.99,7.03,7.03,"1,675,800"
26-Aug-24,7.49,7.7,7.23,7.23,7.23,"2,538,200"
23-Aug-24,7.04,7.62,6.92,7.54,7.54,"3,269,600"
22-Aug-24,6.96,7.47,6.82,6.99,6.99,"3,996,300"
21-Aug-24,6.85,7.16,6.78,6.91,6.91,"3,265,500"
20-Aug-24,7,7.12,6.58,6.73,6.73,"2,442,900"
19-Aug-24,6.54,7.08,6.5,6.89,6.89,"4,432,800"
16-Aug-24,6.3,6.58,6.08,6.46,6.46,"6,344,800"
15-Aug-24,6.64,7.11,6.22,6.33,6.33,"15,364,000"
14-Aug-24,8.22,8.3,7.72,7.73,7.73,"587,000"
13-Aug-24,7.87,8.32,7.66,7.89,7.89,"1,077,900"
12-Aug-24,7.67,7.84,7.3,7.61,7.61,"1,080,600"
9-Aug-24,8.26,8.55,7.81,7.89,7.89,"1,467,400"
8-Aug-24,7.86,8.5,7.66,8.44,8.44,"1,397,400"
7-Aug-24,8.46,8.63,7.47,7.66,7.66,"2,808,800"
6-Aug-24,7.5,8.93,7.27,8.38,8.38,"3,528,000"
