Date,Open,High,Low,Close,Volume
14-May-24,5.44,5.54,5.25,5.38,5.38,"524,400"
13-May-24,5.52,5.7,5.43,5.45,5.45,"510,900"
10-May-24,5.78,5.96,5.45,5.5,5.5,"477,900"
9-May-24,5.57,5.84,5.56,5.79,5.79,"316,700"
8-May-24,5.68,5.71,5.44,5.64,5.64,"469,400"
7-May-24,5.8,5.89,5.68,5.75,5.75,"521,000"
6-May-24,5.89,6.11,5.81,5.84,5.84,"624,700"
3-May-24,5.78,5.88,5.53,5.74,5.74,"497,700"
2-May-24,5.6,5.79,5.44,5.64,5.64,"611,000"
1-May-24,5.47,5.82,5.35,5.5,5.5,"617,900"
30-Apr-24,5.98,6.04,5.47,5.49,5.49,"845,100"
29-Apr-24,6.29,6.29,5.89,6.03,6.03,"709,500"
26-Apr-24,6.48,6.59,6.28,6.35,6.35,"524,100"
25-Apr-24,6.21,6.51,6.13,6.46,6.46,"546,000"
24-Apr-24,6.59,6.83,6.41,6.48,6.48,"615,000"
23-Apr-24,6.55,6.99,6.44,6.71,6.71,"957,500"
22-Apr-24,6.12,6.67,5.94,6.65,6.65,"1,029,700"
19-Apr-24,5.71,6.17,5.71,6.02,6.02,"645,200"
18-Apr-24,5.55,5.87,5.28,5.69,5.69,"818,200"
17-Apr-24,5.58,5.77,5.33,5.54,5.54,"699,600"
16-Apr-24,5.5,5.58,5.23,5.42,5.42,"897,100"
15-Apr-24,6.27,6.33,5.6,5.65,5.65,"1,174,200"
12-Apr-24,6.59,6.6,5.9,6.04,6.04,"1,430,100"
11-Apr-24,6.68,6.73,6.46,6.57,6.57,"676,800"
10-Apr-24,6.68,6.85,6.58,6.67,6.67,"699,100"
9-Apr-24,7.22,7.25,6.72,6.81,6.81,"778,600"
8-Apr-24,7.1,7.38,7.01,7.1,7.1,"1,000,600"
5-Apr-24,6.98,7.22,6.9,7.05,7.05,"423,800"
4-Apr-24,7,7.55,6.95,7.04,7.04,"972,200"
3-Apr-24,6.97,7.27,6.88,6.94,6.94,"868,400"
2-Apr-24,6.67,7.1,6.5,7,7,"1,005,900"
1-Apr-24,6.95,7.08,6.65,6.96,6.96,"1,058,600"
28-Mar-24,6.96,7.34,6.83,7.02,7.02,"1,734,000"
27-Mar-24,7,7.13,6.82,6.92,6.92,"755,300"
26-Mar-24,7.21,7.27,6.78,6.93,6.93,"1,521,700"
25-Mar-24,7.25,7.38,6.9,7.21,7.21,"1,941,100"
22-Mar-24,7.5,7.63,6.98,7.16,7.16,"1,679,400"
21-Mar-24,7.94,8.15,7.68,7.95,7.95,"2,216,800"
20-Mar-24,7.3,8.34,7.01,8.34,8.34,"3,394,800"
19-Mar-24,6.9,7.45,6.5,7.43,7.43,"2,110,000"
18-Mar-24,7.75,7.77,6.95,7.4,7.4,"2,365,700"
15-Mar-24,6.46,8.07,6.4,8,8,"4,299,800"
14-Mar-24,6.62,6.66,6.19,6.46,6.46,"1,169,400"
13-Mar-24,6.57,6.95,6.53,6.74,6.74,"1,406,800"
12-Mar-24,6.6,6.61,5.69,6.29,6.29,"1,890,500"
11-Mar-24,7.53,7.57,6.31,6.33,6.33,"2,856,500"
8-Mar-24,7,7.5,6.97,7.36,7.36,"1,086,500"
7-Mar-24,6.53,7.04,6.41,6.87,6.87,"1,150,200"
6-Mar-24,6.67,6.92,6.17,6.59,6.59,"1,766,000"
5-Mar-24,6.5,6.81,6.41,6.48,6.48,"1,937,800"
4-Mar-24,7.5,7.87,6.38,6.83,6.83,"3,670,300"
1-Mar-24,6.76,6.87,6.32,6.76,6.76,"1,221,900"
29-Feb-24,7.39,7.6,6.58,6.62,6.62,"2,498,700"
28-Feb-24,8.18,8.19,6.93,7.18,7.18,"3,149,100"
27-Feb-24,8.36,8.55,7.71,7.86,7.86,"3,386,400"
26-Feb-24,6.7,8.09,6.6,8.01,8.01,"3,203,200"
23-Feb-24,6.75,6.75,6.35,6.48,6.48,"1,149,900"
22-Feb-24,6.75,6.96,6.56,6.78,6.78,"995,100"
21-Feb-24,6.9,6.95,6.48,6.71,6.71,"1,318,700"
